data,spx_pe,ibov_valuation_idx
2011-08-18,13.272118,
2011-08-19,13.072917,
2011-08-22,13.07629,
2011-08-23,13.524609,
2011-08-24,13.702051,
2011-08-25,13.488772,
2011-08-26,13.692744,
2011-08-29,14.079975,
2011-08-30,14.113021,
2011-08-31,14.182485,
2011-09-01,13.847092,
2011-09-02,13.49701,
2011-09-06,13.396643,
2011-09-07,13.780409,
2011-09-08,13.634169,
2011-09-09,13.270062,
2011-09-12,13.362497,
2011-09-13,13.484364,
2011-09-14,13.666131,
2011-09-15,13.901012,
2011-09-16,13.98034,
2011-09-19,13.843297,
2011-09-20,13.820303,
2011-09-21,13.414118,
2011-09-22,12.986434,
2011-09-23,13.065418,
2011-09-26,13.370314,
2011-09-27,13.513221,
2011-09-28,13.233618,
2011-09-29,13.340998,
2011-09-30,13.007818,
2011-10-03,12.639186,
2011-10-04,12.923421,
2011-10-05,13.154306,
2011-10-06,13.395078,
2011-10-07,13.28573,
2011-10-10,13.739106,
2011-10-11,13.74658,
2011-10-12,13.881223,
2011-10-13,13.839945,
2011-10-14,14.080487,
2011-10-17,13.80775,
2011-10-18,14.089686,
2011-10-19,13.911464,
2011-10-20,13.974819,
2011-10-21,14.237668,
2011-10-24,14.420949,
2011-10-25,14.131885,
2011-10-26,14.280786,
2011-10-27,14.770495,
2011-10-28,14.776244,
2011-10-31,14.410717,
2011-11-01,14.00966,
2011-11-02,14.235281,
2011-11-03,14.502645,
2011-11-04,14.411568,
2011-11-07,14.5023,
2011-11-08,14.672494,
2011-11-09,14.134084,
2011-11-10,14.255979,
2011-11-11,14.533693,
2011-11-14,14.394895,
2011-11-15,14.464237,
2011-11-16,14.223896,
2011-11-17,13.984936,
2011-11-18,13.979416,
2011-11-21,13.718721,
2011-11-22,13.661914,
2011-11-23,13.360051,
2011-11-25,13.324173,
2011-11-28,13.713777,
2011-11-29,13.744135,
2011-11-30,14.339466,
2011-12-01,14.313743,
2011-12-02,14.310294,
2011-12-05,14.457504,
2011-12-06,14.47349,
2011-12-07,14.502703,
2011-12-08,14.196089,
2011-12-09,14.435767,
2011-12-12,14.220471,
2011-12-13,14.096952,
2011-12-14,13.936975,
2011-12-15,13.982174,
2011-12-16,14.027142,
2011-12-19,13.862564,
2011-12-20,14.276021,
2011-12-21,14.303852,
2011-12-22,14.422082,
2011-12-23,14.552386,
2011-12-27,14.553537,
2011-12-28,14.371938,
2011-12-29,14.52582,
2011-12-30,14.463484,
2012-01-03,14.598309,
2012-01-04,14.601052,
2012-01-05,14.644034,
2012-01-06,14.606882,
2012-01-09,14.639917,
2012-01-10,14.770004,
2012-01-11,14.774577,
2012-01-12,14.809099,
2012-01-13,14.735825,
2012-01-17,14.788181,
2012-01-18,14.952447,
2012-01-19,15.026292,
2012-01-20,15.036351,
2012-01-23,15.043439,
2012-01-24,15.028007,
2012-01-25,15.158437,
2012-01-26,15.071217,
2012-01-27,15.04721,
2012-01-30,15.009259,
2012-01-31,15.002401,
2012-02-01,15.044767,
2012-02-02,15.061243,
2012-02-03,15.281218,
2012-02-06,15.274741,
2012-02-07,15.305648,
2012-02-08,15.338711,
2012-02-09,15.361322,
2012-02-10,15.255539,
2012-02-13,15.359278,
2012-02-14,15.344847,
2012-02-15,15.262243,
2012-02-16,15.43052,
2012-02-17,15.466765,
2012-02-21,15.4779,
2012-02-22,15.426202,
2012-02-23,15.492103,
2012-02-24,15.518009,
2012-02-27,15.539029,
2012-02-28,15.591183,
2012-02-29,15.517328,
2012-03-01,15.519426,
2012-03-02,15.469054,
2012-03-05,15.409193,
2012-03-06,15.172351,
2012-03-07,15.27705,
2012-03-08,15.427039,
2012-03-09,15.483058,
2012-03-12,15.485543,
2012-03-13,15.76632,
2012-03-14,15.747459,
2012-03-15,15.841427,
2012-03-16,15.85916,
2012-03-19,15.922182,
2012-03-20,15.874407,
2012-03-21,15.844703,
2012-03-22,15.730518,
2012-03-23,15.779422,
2012-03-26,15.998532,
2012-03-27,15.953468,
2012-03-28,15.874633,
2012-03-29,15.849108,
2012-03-30,15.907725,
2012-04-02,16.064604,
2012-04-03,16.000528,
2012-04-04,15.837283,
2012-04-05,15.82732,
2012-04-09,15.647547,
2012-04-10,15.380264,
2012-04-11,15.49483,
2012-04-12,15.708339,
2012-04-13,15.512377,
2012-04-16,15.504565,
2012-04-17,15.74468,
2012-04-18,15.68083,
2012-04-19,15.587774,
2012-04-20,15.606,
2012-04-23,15.474792,
2012-04-24,15.531736,
2012-04-25,15.74366,
2012-04-26,15.84883,
2012-04-27,15.887094,
2012-04-30,15.825397,
2012-05-01,15.952265,
2012-05-02,15.912437,
2012-05-03,15.790566,
2012-05-04,15.535592,
2012-05-07,15.541039,
2012-05-08,15.474544,
2012-05-09,15.370829,
2012-05-10,15.409524,
2012-05-11,15.357327,
2012-05-14,15.186663,
2012-05-15,15.099403,
2012-05-16,15.032908,
2012-05-17,14.806642,
2012-05-18,14.697254,
2012-05-21,14.932937,
2012-05-22,14.9402,
2012-05-23,14.965504,
2012-05-24,14.986157,
2012-05-25,14.953702,
2012-05-29,15.119374,
2012-05-30,14.90264,
2012-05-31,14.868711,
2012-06-01,14.536397,
2012-06-04,14.53799,
2012-06-05,14.621247,
2012-06-06,14.958258,
2012-06-07,14.956665,
2012-06-08,15.078026,
2012-06-11,14.887739,
2012-06-12,15.061193,
2012-06-13,14.955414,
2012-06-14,15.117152,
2012-06-15,15.27343,
2012-06-18,15.295496,
2012-06-19,15.445632,
2012-06-20,15.419585,
2012-06-21,15.076319,
2012-06-22,15.184486,
2012-06-25,14.94222,
2012-06-26,15.013535,
2012-06-27,15.14843,
2012-06-28,15.11647,
2012-06-29,15.493176,
2012-07-02,15.615347,
2012-07-03,15.712663,
